PayKey,Year,Payroll,Abbrev,HR,SO,OBP,SLG,pFIP,RegSeasonW
TOR-07,2007,81942800,TOR,165,1044,0.327,0.419,4.28,83
WSN-07,2007,37347500,WSN,123,1128,0.325,0.39,4.92,73
ARI-06,2006,59684226,ARI,160,965,0.331,0.424,4.34,76
ATL-06,2006,90156876,ATL,222,1169,0.337,0.455,4.65,79
BAL-06,2006,72585582,BAL,164,878,0.339,0.424,5.09,70
BOS-06,2006,120099824,BOS,192,1056,0.351,0.435,4.5,86
CHC-06,2006,94424499,CHC,166,928,0.319,0.422,4.88,66
CHW-06,2006,102750667,CHW,236,1056,0.342,0.464,4.56,90
CIN-06,2006,60909519,CIN,217,1192,0.336,0.432,4.69,80
CLE-06,2006,56031500,CLE,196,1204,0.349,0.457,4.34,78
COL-06,2006,41233000,COL,157,1108,0.341,0.433,4.51,76
DET-06,2006,82612866,DET,203,1133,0.329,0.449,4.32,95
FLA-06,2006,14998500,FLA,182,1249,0.331,0.435,4.59,78
HOU-06,2006,92551503,HOU,174,1076,0.332,0.409,4.27,82
KCR-06,2006,47294000,KCR,124,1040,0.332,0.411,5.29,62
ANA-06,2006,103472000,ANA,159,914,0.334,0.425,4.03,89
LAD-06,2006,98447187,LAD,153,959,0.348,0.432,4.13,88
MIL-06,2006,57568333,MIL,180,1233,0.327,0.42,4.39,75
MIN-06,2006,63396006,MIN,143,872,0.347,0.425,3.99,96
NYM-06,2006,101084963,NYM,200,1071,0.334,0.445,4.37,97
NYY-06,2006,194663079,NYY,210,1053,0.363,0.461,4.42,97
OAK-06,2006,62243079,OAK,175,976,0.34,0.412,4.42,93
PHI-06,2006,88273333,PHI,216,1203,0.347,0.447,4.65,85
PIT-06,2006,46717750,PIT,141,1200,0.327,0.397,4.53,67
SDP-06,2006,69896141,SDP,161,1104,0.332,0.416,4.27,88
SEA-06,2006,87959833,SEA,172,974,0.325,0.424,4.59,78
SFG-06,2006,90056419,SFG,163,891,0.324,0.422,4.52,76
STL-06,2006,88891371,STL,184,922,0.337,0.431,4.77,83
TBR-06,2006,35417967,TBR,190,1106,0.314,0.42,4.83,61
TEX-06,2006,68228662,TEX,183,1061,0.338,0.446,4.44,80
TOR-06,2006,71915000,TOR,199,906,0.348,0.463,4.51,87
WSN-06,2006,63143000,WSN,164,1156,0.338,0.418,4.97,71
ARI-05,2005,63015834,ARI,191,1094,0.332,0.421,4.55,77
ATL-05,2005,85148582,ATL,184,1084,0.333,0.435,4.19,90
BAL-05,2005,74570539,BAL,189,902,0.327,0.434,4.51,74
BOS-05,2005,121311945,BOS,199,1044,0.357,0.454,4.28,95
CHC-05,2005,87210933,CHC,194,920,0.324,0.44,4.26,79
CHW-05,2005,75228000,CHW,200,1002,0.322,0.425,4.12,99
CIN-05,2005,59658275,CIN,222,1303,0.339,0.446,4.87,73
CLE-05,2005,41830400,CLE,207,1093,0.334,0.453,3.92,93
COL-05,2005,47789000,COL,150,1103,0.333,0.411,4.7,67
DET-05,2005,68998183,DET,168,1038,0.321,0.428,4.57,71
FLA-05,2005,60375961,FLA,128,918,0.339,0.409,3.81,83
HOU-05,2005,76779022,HOU,161,1037,0.322,0.408,3.84,89
KCR-05,2005,36881000,KCR,126,1008,0.32,0.396,4.74,56
ANA-05,2005,95017822,ANA,147,848,0.325,0.409,3.89,95
LAD-05,2005,81029500,LAD,149,1094,0.326,0.395,4.4,71
MIL-05,2005,40234833,MIL,175,1162,0.331,0.423,4.2,81
MIN-05,2005,56615000,MIN,134,978,0.323,0.391,4,83
NYM-05,2005,104770139,NYM,175,1075,0.322,0.416,3.98,83
NYY-05,2005,205938439,NYY,229,989,0.355,0.45,4.28,95
OAK-05,2005,55869262,OAK,155,819,0.33,0.407,4.08,88
PHI-05,2005,95337908,PHI,167,1083,0.348,0.423,4.29,88
PIT-05,2005,38138000,PIT,139,1092,0.322,0.4,4.57,67
SDP-05,2005,62888192,SDP,130,977,0.333,0.391,3.9,82
SEA-05,2005,85883333,SEA,130,986,0.317,0.391,4.56,69
SFG-05,2005,89487842,SFG,128,901,0.319,0.396,4.35,75
STL-05,2005,93319842,STL,170,947,0.339,0.423,4.09,100
TBR-05,2005,29893567,TBR,157,990,0.329,0.425,4.89,67
TEX-05,2005,55307258,TEX,260,1112,0.329,0.468,4.37,79
TOR-05,2005,45336500,TOR,136,955,0.331,0.407,4.42,80
WSN-05,2005,48581500,WSN,117,1090,0.322,0.386,4.16,81
ANA-04,2004,101084667,ANA,162,942,0.341,0.429,4.09,92
ARI-04,2004,70204984,ARI,135,1022,0.31,0.393,4.78,51
ATL-04,2004,88507788,ATL,178,1158,0.343,0.434,4.15,96
BAL-04,2004,51212653,BAL,169,949,0.345,0.432,4.52,78
BOS-04,2004,125208542,BOS,222,1189,0.36,0.472,4.03,98
CHC-04,2004,91101667,CHC,235,1080,0.328,0.458,3.98,89
CHW-04,2004,65212500,CHW,242,1030,0.333,0.457,4.87,83
CIN-04,2004,43067858,CIN,194,1335,0.331,0.418,5.1,76
CLE-04,2004,34569300,CLE,184,1009,0.351,0.444,4.62,80
COL-04,2004,64590403,COL,202,1181,0.345,0.455,5.13,68
DET-04,2004,46353554,DET,201,1144,0.337,0.449,4.6,72
FLA-04,2004,42118042,FLA,148,968,0.329,0.406,4.17,83
HOU-04,2004,74666303,HOU,187,999,0.342,0.436,4.07,92
KCR-04,2004,47609000,KCR,150,1057,0.322,0.397,4.92,58
LAD-04,2004,89694342,LAD,203,1092,0.332,0.423,4.36,93
MIL-04,2004,27518500,MIL,135,1312,0.321,0.387,4.1,67
MIN-04,2004,53585000,MIN,191,982,0.332,0.431,3.98,92
MON-04,2004,43197500,MON,151,925,0.313,0.392,4.71,67
NYM-04,2004,100629303,NYM,185,1159,0.317,0.409,4.43,71
NYY-04,2004,182835513,NYY,242,982,0.353,0.458,4.27,101
OAK-04,2004,59825167,OAK,189,1061,0.343,0.433,4.34,91
PHI-04,2004,93219167,PHI,215,1133,0.345,0.443,4.65,86
PIT-04,2004,32227929,PIT,142,1066,0.321,0.401,4.24,72
SDP-04,2004,54639503,SDP,139,910,0.342,0.414,4.19,87
SEA-04,2004,81543833,SEA,136,1058,0.331,0.396,4.85,63
SFG-04,2004,82019167,SFG,183,874,0.357,0.438,4.31,91
STL-04,2004,75633517,STL,214,1085,0.344,0.46,4.17,105
TBR-04,2004,29506667,TBR,145,944,0.32,0.405,4.93,70
TEX-04,2004,54825973,TEX,227,1099,0.329,0.457,4.64,89
TOR-04,2004,50017000,TOR,145,1083,0.328,0.403,4.77,67
ANA-03,2003,79031667,ANA,150,838,0.33,0.413,4.57,77
ARI-03,2003,80640333,ARI,152,1006,0.33,0.417,3.83,84
ATL-03,2003,106243667,ATL,235,933,0.349,0.475,4.21,101
BAL-03,2003,73877500,BAL,152,902,0.323,0.405,4.71,71
BOS-03,2003,99946500,BOS,238,943,0.36,0.491,3.99,95
CHC-03,2003,79868333,CHC,172,1158,0.323,0.416,3.8,88
CHW-03,2003,51010000,CHW,220,916,0.331,0.446,4.22,86
CIN-03,2003,59355667,CIN,182,1326,0.318,0.395,4.94,69
CLE-03,2003,48584834,CLE,158,1062,0.316,0.401,4.49,68
COL-03,2003,67179667,COL,198,1134,0.344,0.445,4.99,74
DET-03,2003,49168000,DET,153,1099,0.3,0.375,5.01,43
FLA-03,2003,49050000,FLA,157,978,0.333,0.421,3.8,91
HOU-03,2003,71040000,HOU,191,1021,0.336,0.431,4.23,87
KCR-03,2003,40518000,KCR,162,926,0.336,0.427,4.86,83
LAD-03,2003,105872620,LAD,124,985,0.303,0.368,3.56,85
MIL-03,2003,40627000,MIL,196,1221,0.329,0.419,4.88,68
MIN-03,2003,55505000,MIN,155,1027,0.341,0.431,4.26,90
MON-03,2003,51948500,MON,144,990,0.326,0.401,4.35,83
NYM-03,2003,117176429,NYM,124,1035,0.314,0.374,4.61,66
NYY-03,2003,152749814,NYY,230,1042,0.356,0.453,3.66,101
OAK-03,2003,50260834,OAK,176,898,0.327,0.417,4.03,96
PHI-03,2003,70780000,PHI,166,1155,0.343,0.419,4.12,86
PIT-03,2003,54812429,PIT,163,1049,0.338,0.42,4.52,75
SDP-03,2003,47928000,SDP,128,1073,0.333,0.388,4.8,64
SEA-03,2003,86959167,SEA,139,989,0.344,0.41,4.28,93
SFG-03,2003,82852167,SFG,180,980,0.338,0.425,4.09,100
STL-03,2003,83486666,STL,196,952,0.35,0.454,4.75,85
TBR-03,2003,19630000,TBR,137,1030,0.32,0.404,5.12,63
TEX-03,2003,103491667,TEX,239,1052,0.33,0.454,4.9,71
TOR-03,2003,51269000,TOR,190,1081,0.349,0.455,4.46,86
ANA-02,2002,61721667,ANA,152,805,0.341,0.433,4.25,99
ARI-02,2002,102820000,ARI,165,1016,0.346,0.423,3.67,98
ATL-02,2002,93470367,ATL,164,1028,0.331,0.409,3.83,101
BAL-02,2002,60493487,BAL,165,993,0.309,0.403,4.74,67
BOS-02,2002,108366060,BOS,177,944,0.345,0.444,3.74,93
CHC-02,2002,75690833,CHC,200,1269,0.321,0.413,4,67
CHW-02,2002,57052833,CHW,217,952,0.338,0.449,4.61,81
CIN-02,2002,45050390,CIN,169,1188,0.33,0.408,4.41,78
CLE-02,2002,78909448,CLE,192,1000,0.321,0.412,4.16,74
COL-02,2002,56851043,COL,152,1043,0.337,0.423,5.08,73
DET-02,2002,55048000,DET,124,1035,0.3,0.379,4.44,55
FLA-02,2002,41979917,FLA,146,1130,0.337,0.403,4.21,79
HOU-02,2002,63448417,HOU,167,1120,0.338,0.417,3.88,84
KCR-02,2002,47257000,KCR,140,921,0.323,0.398,4.91,62
LAD-02,2002,94850952,LAD,155,940,0.32,0.409,4.12,92
MIL-02,2002,50287833,MIL,139,1125,0.32,0.39,4.86,56
MIN-02,2002,40225000,MIN,167,1089,0.332,0.437,4.2,94
MON-02,2002,38670500,MON,162,1104,0.334,0.418,4.08,83
NYM-02,2002,94633593,NYM,160,1044,0.322,0.395,4.14,75
NYY-02,2002,125928583,NYY,223,1171,0.354,0.455,3.62,103
OAK-02,2002,39679746,OAK,205,1008,0.339,0.432,3.87,103
PHI-02,2002,57955000,PHI,165,1095,0.339,0.422,4.18,80
PIT-02,2002,42323598,PIT,142,1109,0.319,0.381,4.49,72
SDP-02,2002,41425000,SDP,136,1062,0.321,0.381,4.37,66
SEA-02,2002,80282668,SEA,152,1003,0.35,0.419,4.11,93
SFG-02,2002,78299835,SFG,198,961,0.344,0.442,3.8,95
STL-02,2002,74098267,STL,175,927,0.338,0.425,4.09,97
TBR-02,2002,34380000,TBR,133,1115,0.314,0.39,5.11,55
TEX-02,2002,105302124,TEX,230,1055,0.338,0.455,4.84,72
TOR-02,2002,76864333,TOR,187,1142,0.327,0.43,4.56,78
ANA-01,2001,46568180,ANA,158,1001,0.327,0.405,4.48,75
ARI-01,2001,81206513,ARI,208,1052,0.341,0.442,4.08,92
ATL-01,2001,91851687,ATL,174,1039,0.324,0.412,3.96,88
BAL-01,2001,72426328,BAL,136,989,0.319,0.38,4.76,63
BOS-01,2001,109558908,BOS,198,1131,0.334,0.439,3.94,82
CHC-01,2001,64015833,CHC,194,1077,0.336,0.43,3.91,88
CHW-01,2001,62363000,CHW,214,998,0.334,0.451,4.64,83
CIN-01,2001,45227882,CIN,176,1172,0.324,0.419,4.7,66
CLE-01,2001,91974979,CLE,212,1076,0.35,0.458,3.98,91
COL-01,2001,71068000,COL,213,1027,0.354,0.483,5.13,73
DET-01,2001,49831167,DET,139,972,0.32,0.409,4.8,66
FLA-01,2001,35504167,FLA,166,1145,0.326,0.423,4.29,76
HOU-01,2001,60382667,HOU,208,1119,0.347,0.451,4.48,93
KCR-01,2001,35643000,KCR,152,898,0.318,0.409,5,65
LAD-01,2001,108980952,LAD,206,1062,0.323,0.425,4.26,86
MIL-01,2001,43089333,MIL,209,1399,0.319,0.426,4.9,68
MIN-01,2001,24350000,MIN,164,1083,0.337,0.433,4.48,85
MON-01,2001,34774500,MON,131,1071,0.319,0.396,4.46,68
NYM-01,2001,93174428,NYM,147,1062,0.323,0.387,4.07,82
NYY-01,2001,109791893,NYY,203,1035,0.334,0.435,3.79,95
OAK-01,2001,33810750,OAK,199,1021,0.345,0.439,3.88,102
PHI-01,2001,41664167,PHI,164,1125,0.329,0.414,4.31,86
PIT-01,2001,52698333,PIT,161,1106,0.313,0.393,4.63,62
SDP-01,2001,38333117,SDP,161,1273,0.336,0.399,4.62,79
SEA-01,2001,75652500,SEA,169,989,0.36,0.445,4.12,116
SFG-01,2001,63332667,SFG,235,1090,0.342,0.46,4.12,90
STL-01,2001,77270855,STL,199,1089,0.339,0.441,4.57,93
TBR-01,2001,54951602,TBR,121,1116,0.32,0.388,4.85,62
TEX-01,2001,88504421,TEX,246,1093,0.344,0.471,5.11,73
TOR-01,2001,75798500,TOR,195,1094,0.325,0.43,4.25,80
ANA-00,2000,51464167,ANA,236,1024,0.352,0.472,5.46,82
ARI-00,2000,81027833,ARI,179,975,0.333,0.429,4.28,85
ATL-00,2000,84537836,ATL,179,1010,0.346,0.429,4.19,95
BAL-00,2000,81447435,BAL,184,900,0.341,0.435,5.01,74
BOS-00,2000,77940333,BOS,167,1019,0.341,0.423,4.29,85
CHC-00,2000,60539333,CHC,183,1120,0.335,0.411,5.11,65
CHW-00,2000,31133500,CHW,216,960,0.356,0.47,4.83,95
CIN-00,2000,46867200,CIN,200,995,0.343,0.447,4.88,85
CLE-00,2000,75880871,CLE,221,1057,0.367,0.47,4.48,90
COL-00,2000,61111190,COL,161,907,0.362,0.455,5.13,82
DET-00,2000,58265167,DET,177,982,0.343,0.438,4.5,79
FLA-00,2000,20072000,FLA,160,1184,0.331,0.409,4.65,79
HOU-00,2000,51289111,HOU,249,1129,0.361,0.477,5.14,72
KCR-00,2000,23433000,KCR,150,840,0.348,0.425,5.54,77
LAD-00,2000,88124286,LAD,211,1083,0.341,0.431,4.52,86
MIL-00,2000,36505333,MIL,177,1245,0.325,0.403,4.98,73
MIN-00,2000,16519500,MIN,116,1021,0.337,0.407,4.76,69
MON-00,2000,34807833,MON,178,1048,0.326,0.432,4.71,67
NYM-00,2000,79509776,NYM,198,1037,0.346,0.43,4.31,94
NYY-00,2000,92538260,NYY,205,1007,0.354,0.45,4.61,87
OAK-00,2000,31971333,OAK,239,1159,0.36,0.458,4.61,91
PHI-00,2000,47308000,PHI,144,1117,0.329,0.4,4.81,65
PIT-00,2000,28928333,PIT,168,1032,0.339,0.424,4.72,69
SDP-00,2000,54821000,SDP,157,1177,0.33,0.402,4.84,76
SEA-00,2000,58915000,SEA,198,1073,0.361,0.442,4.65,91
SFG-00,2000,53737826,SFG,226,1032,0.362,0.472,4.38,97
STL-00,2000,61453863,STL,235,1253,0.356,0.455,4.77,95
TBR-00,2000,62765129,TBR,162,1022,0.329,0.399,4.85,69
TEX-00,2000,70795921,TEX,173,922,0.352,0.446,5.21,71
TOR-00,2000,46238333,TOR,244,1026,0.341,0.469,4.84,83
ANA-99,1999,49868167,ANA,158,1022,0.322,0.395,4.94,70
ARI-99,1999,70496000,ARI,216,1045,0.347,0.459,4.27,100
ATL-99,1999,74890000,ATL,197,962,0.341,0.436,3.85,103
BAL-99,1999,72198363,BAL,203,890,0.353,0.447,5.01,78
BOS-99,1999,71725000,BOS,176,928,0.35,0.448,4.1,94
CHC-99,1999,55443500,CHC,189,1170,0.329,0.42,4.94,67
CHW-99,1999,24535000,CHW,162,810,0.337,0.429,5.06,75
CIN-99,1999,42142761,CIN,209,1125,0.341,0.451,4.74,96
CLE-99,1999,73278458,CLE,209,1099,0.373,0.467,4.78,97
COL-99,1999,54442505,COL,223,863,0.348,0.472,5.52,72
DET-99,1999,34959667,DET,212,1049,0.326,0.443,5.05,69
FLA-99,1999,15150000,FLA,128,1145,0.325,0.395,4.85,64
HOU-99,1999,54339000,HOU,168,1138,0.355,0.42,3.69,97
KCR-99,1999,16557000,KCR,151,932,0.348,0.433,5.31,64
LAD-99,1999,71115786,LAD,187,1030,0.339,0.42,4.72,77
MIL-99,1999,42927395,MIL,165,1065,0.353,0.426,5.07,74
MIN-99,1999,16345000,MIN,105,978,0.328,0.384,4.82,63
MON-99,1999,16413000,MON,163,939,0.323,0.427,4.38,68
NYM-99,1999,71506427,NYM,181,994,0.363,0.434,4.39,97
NYY-99,1999,88180712,NYY,193,978,0.366,0.453,4.35,98
OAK-99,1999,24175333,OAK,235,1129,0.355,0.446,4.53,87
PHI-99,1999,30568167,PHI,161,1081,0.351,0.431,5.05,77
PIT-99,1999,24167667,PIT,171,1197,0.334,0.419,4.51,78
SDP-99,1999,45832180,SDP,153,1169,0.332,0.393,4.57,74
SEA-99,1999,44396336,SEA,244,1095,0.343,0.455,5.08,79
SFG-99,1999,45959557,SFG,188,1028,0.356,0.434,4.84,86
STL-99,1999,46173195,STL,194,1202,0.338,0.426,4.68,75
TBR-99,1999,38027500,TBR,145,1042,0.343,0.411,4.84,69
TEX-99,1999,81576598,TEX,230,937,0.361,0.479,4.6,95
TOR-99,1999,48455333,TOR,212,1077,0.352,0.457,4.77,84
ANA-98,1998,48389000,ANA,147,1028,0.335,0.415,4.51,85
ARI-98,1998,31614500,ARI,159,1239,0.314,0.393,4.69,65
ATL-98,1998,61708000,ATL,215,1062,0.342,0.453,3.53,106
BAL-98,1998,71860921,BAL,214,903,0.347,0.447,4.4,79
BOS-98,1998,59497000,BOS,205,1049,0.348,0.463,4.4,92
CHC-98,1998,49816000,CHC,212,1223,0.337,0.433,4.35,90
CHW-98,1998,35180000,CHW,198,916,0.339,0.444,5.1,80
CIN-98,1998,20707333,CIN,138,1107,0.337,0.402,4.45,77
CLE-98,1998,59543165,CLE,198,1061,0.347,0.448,4.54,89
COL-98,1998,47714648,COL,183,949,0.347,0.461,4.7,77
DET-98,1998,19237500,DET,165,1070,0.323,0.415,4.81,65
FLA-98,1998,15141000,FLA,114,1120,0.317,0.373,4.97,54
HOU-98,1998,48304000,HOU,166,1122,0.356,0.436,3.86,102
KCR-98,1998,35610000,KCR,134,984,0.324,0.399,4.83,72
LAD-98,1998,62806667,LAD,159,1056,0.31,0.387,4.06,83
MIL-98,1998,31897903,MIL,152,1039,0.33,0.396,4.62,74
MIN-98,1998,24527500,MIN,115,915,0.328,0.389,4.48,70
MON-98,1998,8317000,MON,147,1058,0.31,0.394,4.38,65
NYM-98,1998,58660665,NYM,136,1049,0.33,0.394,4.18,88
NYY-98,1998,65663698,NYY,207,1025,0.364,0.46,4.15,114
OAK-98,1998,22463500,OAK,149,1122,0.338,0.397,4.7,74
PHI-98,1998,28622500,PHI,126,1080,0.326,0.395,4.43,75
PIT-98,1998,13695000,PIT,107,1060,0.311,0.374,4.08,69
SDP-98,1998,53066166,SDP,167,1072,0.33,0.409,3.84,98
SEA-98,1998,43698136,SEA,234,1081,0.345,0.468,4.54,76
SFG-98,1998,48514715,SFG,161,1040,0.353,0.421,4.42,89
STL-98,1998,44090854,STL,223,1179,0.341,0.441,4.4,83
TBR-98,1998,27370000,TBR,111,1107,0.321,0.385,4.78,63
TEX-98,1998,60519595,TEX,201,1045,0.357,0.462,4.42,88
TOR-98,1998,34158500,TOR,221,1132,0.34,0.448,4.36,88
